run,round,mode,f1,recall,fpr
flgl_k1,1,federated,95.7407,99.9646,0.6447
flgl_k1,2,federated,95.7407,99.9646,0.6447
flgl_k1,3,federated,95.7407,99.9646,0.6447
flgl_k1,4,federated,95.7407,99.9646,0.6447
flgl_k1,5,federated,95.7407,99.9646,0.6447
flgl_k1,6,federated,95.7407,99.9646,0.6447
flgl_k1,7,federated,95.7407,99.9646,0.6447
flgl_k1,8,federated,95.7407,99.9646,0.6447
flgl_k1,9,federated,95.7407,99.9646,0.6447
flgl_k1,10,federated,95.7407,99.9646,0.6447
flgl_k1,11,gossip,95.7407,99.9646,0.6447
flgl_k1,12,gossip,95.7407,99.9646,0.6447
flgl_k1,13,gossip,95.7407,99.9646,0.6447
flgl_k1,14,gossip,95.7407,99.9646,0.6447
flgl_k1,15,gossip,95.7407,99.9646,0.6447
flgl_k1,16,gossip,95.7407,99.9646,0.6447
flgl_k1,17,gossip,95.7407,99.9646,0.6447
flgl_k1,18,gossip,95.7407,99.9646,0.6447
flgl_k1,19,gossip,95.7407,99.9646,0.6447
flgl_k1,20,gossip,95.7407,99.9646,0.6447
flgl_k1,21,gossip,95.7407,99.9646,0.6447
flgl_k1,22,gossip,95.7407,99.9646,0.6447
flgl_k1,23,gossip,95.7407,99.9646,0.6447
flgl_k1,24,gossip,95.7407,99.9646,0.6447
flgl_k1,25,gossip,95.7407,99.9646,0.6447
flgl_k1,26,gossip,95.7407,99.9646,0.6447
flgl_k1,27,gossip,95.7407,99.9646,0.6447
flgl_k1,28,gossip,95.7407,99.9646,0.6447
flgl_k1,29,gossip,95.7407,99.9646,0.6447
flgl_k1,30,gossip,95.7407,99.9646,0.6447
flgl_k1,31,gossip,95.7407,99.9646,0.6447
flgl_k1,32,gossip,95.7407,99.9646,0.6447
flgl_k1,33,gossip,95.7407,99.9646,0.6447
flgl_k1,34,gossip,95.7407,99.9646,0.6447
flgl_k1,35,gossip,95.7407,99.9646,0.6447
flgl_k1,36,gossip,95.7407,99.9646,0.6447
flgl_k1,37,gossip,95.7407,99.9646,0.6447
flgl_k1,38,gossip,95.7407,99.9646,0.6447
flgl_k1,39,gossip,95.7407,99.9646,0.6447
flgl_k1,40,gossip,95.7407,99.9646,0.6447
flgl_k1,41,gossip,95.7407,99.9646,0.6447
flgl_k1,42,gossip,95.7407,99.9646,0.6447
flgl_k1,43,gossip,95.7407,99.9646,0.6447
flgl_k1,44,gossip,95.7407,99.9646,0.6447
flgl_k1,45,gossip,95.7407,99.9646,0.6447
flgl_k1,46,gossip,95.7407,99.9646,0.6447
flgl_k1,47,gossip,95.7407,99.9646,0.6447
flgl_k1,48,gossip,95.7407,99.9646,0.6447
flgl_k1,49,gossip,95.7407,99.9646,0.6447
flgl_k1,50,gossip,95.7407,99.9646,0.6447
flgl_k1,51,gossip,95.7407,99.9646,0.6447
flgl_k1,52,gossip,95.7407,99.9646,0.6447
flgl_k1,53,gossip,95.7407,99.9646,0.6447
flgl_k1,54,gossip,95.7407,99.9646,0.6447
flgl_k1,55,gossip,95.7407,99.9646,0.6447
flgl_k1,56,gossip,95.7407,99.9646,0.6447
flgl_k1,57,gossip,95.7407,99.9646,0.6447
flgl_k1,58,gossip,95.7407,99.9646,0.6447
flgl_k1,59,gossip,95.7407,99.9646,0.6447
flgl_k1,60,gossip,95.7407,99.9646,0.6447
flgl_k1,61,gossip,95.7407,99.9646,0.6447
flgl_k1,62,gossip,95.7407,99.9646,0.6447
flgl_k1,63,gossip,95.7407,99.9646,0.6447
flgl_k1,64,gossip,95.7407,99.9646,0.6447
flgl_k1,65,gossip,95.7407,99.9646,0.6447
flgl_k1,66,gossip,95.7407,99.9646,0.6447
flgl_k1,67,gossip,95.7407,99.9646,0.6447
flgl_k1,68,gossip,95.7407,99.9646,0.6447
flgl_k1,69,gossip,95.7407,99.9646,0.6447
flgl_k1,70,gossip,95.7407,99.9646,0.6447
flgl_k1,71,gossip,95.7407,99.9646,0.6447
flgl_k1,72,gossip,95.7407,99.9646,0.6447
flgl_k1,73,gossip,95.7407,99.9646,0.6447
flgl_k1,74,gossip,95.7407,99.9646,0.6447
flgl_k1,75,gossip,95.7407,99.9646,0.6447
flgl_k1,76,gossip,95.7407,99.9646,0.6447
flgl_k1,77,gossip,95.7407,99.9646,0.6447
flgl_k1,78,gossip,95.7407,99.9646,0.6447
flgl_k1,79,gossip,95.7407,99.9646,0.6447
flgl_k1,80,gossip,95.7407,99.9646,0.6447
flgl_k1,81,gossip,95.7407,99.9646,0.6447
flgl_k1,82,gossip,95.7407,99.9646,0.6447
flgl_k1,83,gossip,95.7407,99.9646,0.6447
flgl_k1,84,gossip,95.7407,99.9646,0.6447
flgl_k1,85,gossip,95.7407,99.9646,0.6447
flgl_k1,86,gossip,95.7407,99.9646,0.6447
flgl_k1,87,gossip,95.7407,99.9646,0.6447
flgl_k1,88,gossip,95.7407,99.9646,0.6447
flgl_k1,89,gossip,95.7407,99.9646,0.6447
flgl_k1,90,gossip,95.7407,99.9646,0.6447
glfl_k1,1,gossip,72.2759,60.0324,0.4431
glfl_k1,2,gossip,88.9866,85.0383,0.4431
glfl_k1,3,gossip,88.9866,85.0383,0.4431
glfl_k1,4,gossip,88.9783,85.0383,0.4443
glfl_k1,5,gossip,89.1664,85.3626,0.4443
glfl_k1,6,gossip,92.4888,91.2795,0.4443
glfl_k1,7,gossip,92.4952,91.2913,0.4443
glfl_k1,8,gossip,95.7407,99.9646,0.6447
glfl_k1,9,gossip,95.7407,99.9646,0.6447
glfl_k1,10,gossip,95.7407,99.9646,0.6447
glfl_k1,11,federated,95.7407,99.9646,0.6447
glfl_k1,12,federated,95.7407,99.9646,0.6447
glfl_k1,13,federated,95.7407,99.9646,0.6447
glfl_k1,14,federated,95.7407,99.9646,0.6447
glfl_k1,15,federated,95.7407,99.9646,0.6447
glfl_k1,16,federated,95.7407,99.9646,0.6447
glfl_k1,17,federated,95.7407,99.9646,0.6447
glfl_k1,18,federated,95.7407,99.9646,0.6447
glfl_k1,19,federated,95.7407,99.9646,0.6447
glfl_k1,20,federated,95.7407,99.9646,0.6447
glfl_k1,21,federated,94.3490,91.7983,0.2034
