round,mode,f1,recall,fpr
1,federated,96.024,99.9646,0.5999
2,federated,96.024,99.9646,0.5999
3,federated,96.024,99.9646,0.5999
4,federated,96.024,99.9646,0.5999
5,federated,96.024,99.9646,0.5999
6,federated,96.024,99.9646,0.5999
7,federated,96.024,99.9646,0.5999
8,federated,96.024,99.9646,0.5999
9,federated,96.024,99.9646,0.5999
10,federated,94.6879,97.3231,0.5999
11,federated,94.6879,97.3231,0.5999
12,federated,94.6879,97.3231,0.5999
13,federated,94.6879,97.3231,0.5999
14,federated,94.6879,97.3231,0.5999
15,federated,94.6879,97.3231,0.5999
16,federated,94.6879,97.3231,0.5999
17,federated,94.6879,97.3231,0.5999
18,federated,94.6879,97.3231,0.5999
19,federated,94.6879,97.3231,0.5999
20,federated,94.6879,97.3231,0.5999
21,federated,94.6879,97.3231,0.5999
22,gossip,96.024,99.9646,0.5999
23,gossip,96.024,99.9646,0.5999
24,gossip,96.024,99.9646,0.5999
25,gossip,96.024,99.9646,0.5999
26,gossip,96.024,99.9646,0.5999
27,gossip,96.024,99.9646,0.5999
28,gossip,96.024,99.9646,0.5999
29,gossip,96.024,99.9646,0.5999
30,gossip,96.024,99.9646,0.5999
31,gossip,96.024,99.9646,0.5999
32,gossip,96.024,99.9646,0.5999
33,gossip,96.024,99.9646,0.5999
34,gossip,96.024,99.9646,0.5999
35,gossip,96.024,99.9646,0.5999
36,gossip,96.024,99.9646,0.5999
37,gossip,96.024,99.9646,0.5999
38,gossip,96.024,99.9646,0.5999
39,gossip,96.024,99.9646,0.5999
40,gossip,96.024,99.9646,0.5999
41,gossip,96.024,99.9646,0.5999
42,federated,96.024,99.9646,0.5999
43,federated,96.024,99.9646,0.5999
44,federated,96.024,99.9646,0.5999
45,federated,96.024,99.9646,0.5999
46,federated,96.024,99.9646,0.5999
47,federated,96.024,99.9646,0.5999
48,federated,96.024,99.9646,0.5999
49,federated,96.024,99.9646,0.5999
50,federated,96.024,99.9646,0.5999
51,federated,96.024,99.9646,0.5999
52,federated,96.024,99.9646,0.5999
