seed,partitioner,k,F1,Recall,FPR
42,specialist,1,95.7152,99.9676,0.6490
42,specialist,2,87.6882,78.0947,0.0018
42,iid,1,79.3646,99.5332,3.7328
42,iid,2,80.1067,99.0664,3.5129
42,dirichlet,1,73.2821,99.9776,5.3039
42,dirichlet,2,88.1318,99.7506,1.9370
42,shard,1,12.7059,100.0000,100.0000
42,shard,2,12.7059,100.0000,100.0000
7,specialist,1,96.1253,99.9656,0.5840
7,specialist,2,87.6924,78.1057,0.0022
7,iid,1,79.8487,99.3831,3.6057
7,iid,2,80.1680,99.2399,3.5180
7,dirichlet,1,12.7059,100.0000,100.0000
7,dirichlet,2,78.4438,99.9801,3.9975
7,shard,1,21.2239,100.0000,54.0244
7,shard,2,79.4071,99.5965,3.7301
13,specialist,1,96.0128,99.9686,0.6020
13,specialist,2,87.6909,78.0913,0.0011
13,iid,1,79.4758,99.2953,3.6810
13,iid,2,79.7241,99.2499,3.6194
13,dirichlet,1,26.1034,99.9940,41.2020
13,dirichlet,2,80.5556,99.9097,3.5036
13,shard,1,21.2239,100.0000,54.0244
13,shard,2,93.4403,99.8788,1.0117
21,specialist,1,95.6196,99.9686,0.6643
21,specialist,2,87.7109,78.1117,0.0000
21,iid,1,79.9108,99.5023,3.6047
21,iid,2,80.2661,99.3382,3.5066
21,dirichlet,1,70.3011,99.9596,6.1435
21,dirichlet,2,79.5489,99.9187,3.7330
21,shard,1,93.5025,99.8713,1.0008
21,shard,2,94.4737,89.8035,0.0225
99,specialist,1,96.0996,99.9631,0.5878
99,specialist,2,87.6839,78.0923,0.0022
99,iid,1,79.8503,99.3571,3.6025
99,iid,2,80.1105,99.2499,3.5320
99,dirichlet,1,12.7059,100.0000,100.0000
99,dirichlet,2,68.2189,99.9476,6.7735
99,shard,1,92.6050,99.8928,1.1533
99,shard,2,94.4121,89.7047,0.0235
