lambda,n_features,seed,k,F1,FPR,FP
0.0,35,42,1,94.1379,0.9009,24820
0.0,35,42,2,87.7229,0.0058,161
0.0,35,7,1,95.1316,0.7389,20357
0.0,35,7,2,87.6924,0.0022,60
0.0,35,13,1,94.3456,0.8669,23883
0.0,35,13,2,87.7326,0.0050,137
0.0,35,21,1,94.5946,0.8259,22755
0.0,35,21,2,87.7109,0.0000,0
0.0,35,99,1,95.2020,0.7306,20130
0.0,35,99,2,87.6839,0.0022,60
0.05,24,42,1,94.8648,0.7821,21547
0.05,24,42,2,87.6813,0.0018,49
0.05,24,7,1,94.3161,0.8714,24009
0.05,24,7,2,87.7579,0.0066,181
0.05,24,13,1,94.3456,0.8669,23883
0.05,24,13,2,87.7326,0.0050,137
0.05,24,21,1,94.5946,0.8259,22755
0.05,24,21,2,87.7109,0.0000,0
0.05,24,99,1,95.1652,0.7366,20293
0.05,24,99,2,87.6829,0.0023,64
0.1,22,42,1,94.5608,0.8314,22905
0.1,22,42,2,87.6813,0.0018,49
0.1,22,7,1,94.0238,0.9194,25330
0.1,22,7,2,87.7608,0.0061,169
0.1,22,13,1,94.0564,0.9143,25189
0.1,22,13,2,87.7343,0.0047,130
0.1,22,21,1,94.2668,0.8794,24228
0.1,22,21,2,87.7109,0.0000,0
0.1,22,99,1,94.8734,0.7803,21499
0.1,22,99,2,87.6797,0.0028,77
0.2,20,42,1,92.5007,1.1739,32342
0.2,20,42,2,87.7995,0.0038,105
0.2,20,7,1,94.0228,0.9194,25330
0.2,20,7,2,87.7586,0.0061,169
0.2,20,13,1,94.0562,0.9143,25189
0.2,20,13,2,87.7321,0.0047,130
0.2,20,21,1,94.2653,0.8794,24228
0.2,20,21,2,87.7081,0.0000,0
0.2,20,99,1,93.8224,0.9519,26227
0.2,20,99,2,87.8075,0.0033,90
