kind,fusion_or_tau,F1,recall,FP
fusion,"temporal@0.5",19.5908,100.0000,141193
fusion,"protocol&temporal@0.5",20.3007,97.4070,131104
fusion,"protocol&temporal@tau*(0.65)",21.0657,89.8605,114085
fusion,"all3&@0.5",63.2518,54.6337,3116
sweep,0.5,20.3007,97.4070,131104
sweep,0.55,20.6526,95.7267,125782
sweep,0.6,20.6526,95.7267,125782
sweep,0.65,21.0657,89.8605,114085
sweep,0.7,22.8831,57.4651,59303
sweep,0.75,22.7573,24.8081,16033
sweep,0.8,0.8452,0.4244,0
sweep,0.85,0.0000,0.0000,0
sweep,0.9,0.0000,0.0000,0
sweep,0.95,0.0000,0.0000,0
meta,tau_star,0.65,,
