k,metric,value
1,F1,95.715247568249
1,recall,99.96758250253106
1,precision,91.80991640902324
1,FPR,0.6490053677872514
1,FP,17881
1,MCC,0.9548923721772575
1,macro_recall,99.9464775534543
1,FP_per_million,6490.0536778725145
1,PR_AUC_OR,0.9984023810494906
1,TP,200444
1,FN,65
1,TN,2737258
1,recall[random_replay],99.99743589743589
1,recall[inverse_replay],100.0
1,recall[masquerade_fake_fault],99.62790697674419
1,recall[masquerade_fake_normal],100.0
1,recall[injection],100.0
1,recall[high_StNum],100.0
1,recall[poisoned_high_rate],100.0
2,F1,87.68819387083677
2,recall,78.09474886414077
2,precision,99.96871728082944
2,FPR,0.001778494660342001
2,FP,49
2,MCC,0.8766020109532598
2,macro_recall,67.27474561246116
2,FP_per_million,17.78494660342001
2,PR_AUC_OR,nan
2,TP,156587
2,FN,43922
2,TN,2755090
2,recall[random_replay],99.98974358974358
2,recall[inverse_replay],67.23836538144398
2,recall[masquerade_fake_fault],3.697674418604651
2,recall[masquerade_fake_normal],0.0
2,recall[injection],99.99743589743589
2,recall[high_StNum],100.0
2,recall[poisoned_high_rate],100.0
